2020-7-8,Mumbai,87856,59238,5064,23554
2020-7-8,Bengaluru,12509,2229,177,10103
2020-7-9,Delhi,107051,82226,3258,21567
2020-7-9,Mumbai,89124,60195,5132,23797
2020-7-9,Bengaluru,13882,2835,177,10870
2020-7-10,Delhi,109140,84694,3300,21146
2020-7-10,Mumbai,90461,61934,5205,23322
2020-7-10,Bengaluru,15329,3436,206,11687
2020-7-11,Delhi,110921,87692,3334,19895
2020-7-11,Mumbai,91745,63431,5244,23070
2020-7-11,Bengaluru,16862,3840,229,12793
2020-7-12,Delhi,112494,89968,3371,19155
2020-7-12,Mumbai,92988,64872,5288,22828
2020-7-12,Bengaluru,18387,4046,274,14067
2020-7-13,Delhi,113740,91312,3411,19017
2020-7-13,Mumbai,94146,65622,5335,23189
2020-7-13,Bengaluru,19702,4329,321,15052
2020-7-14,Delhi,115346,93236,3446,18664
2020-7-14,Mumbai,95100,66633,5405,23062
2020-7-14,Bengaluru,20969,4992,377,15600
2020-7-15,Delhi,116993,95699,3487,17807
2020-7-15,Mumbai,96474,67830,5467,23177
2020-7-15,Bengaluru,22942,5455,437,17050
2020-7-16,Delhi,118645,97693,3545,17407
2020-7-16,Mumbai,97950,67830,5523,24597
2020-7-16,Bengaluru,25286,5952,507,18827
2020-7-17,Delhi,120107,99301,3571,17235
2020-7-17,Mumbai,99164,69340,5585,24239
2020-7-17,Bengaluru,27494,6290,582,20622
2020-7-18,Delhi,121582,101274,3597,16711
2020-7-18,Mumbai,100350,70492,5650,24208
2020-7-18,Bengaluru,29619,6540,631,22448
2020-7-19,Delhi,122793,103134,3628,16031
2020-7-19,Mumbai,101388,71685,5714,23989
2020-7-19,Bengaluru,31775,6793,667,24315
2020-7-20,Delhi,123747,104918,3663,15166
2020-7-20,Mumbai,102423,72648,5755,24020
2020-7-20,Bengaluru,33227,6956,698,25573
2020-7-21,Delhi,125096,106118,3690,15288
2020-7-21,Mumbai,103368,73555,5817,23996
2020-7-21,Bengaluru,34941,7476,720,26745
2020-7-22,Delhi,126323,107650,3719,14954
2020-7-22,Mumbai,104678,75118,5875,23685
2020-7-22,Bengaluru,36993,8288,735,27970
2020-7-23,Delhi,127364,109065,3745,14554
2020-7-23,Mumbai,105923,77102,5930,22891
2020-7-23,Bengaluru,39200,9326,783,29091
2020-7-24,Delhi,128389,110931,3777,13681
2020-7-24,Mumbai,106980,78259,5984,22737
2020-7-24,Bengaluru,41467,10072,833,30562
2020-7-25,Delhi,129531,113068,3806,12657
2020-7-25,Mumbai,108060,78876,6036,23148
2020-7-25,Bengaluru,43503,10758,862,31883
2020-7-26,Delhi,130606,114875,3827,11904
2020-7-26,Mumbai,109161,80238,6093,22830
2020-7-26,Bengaluru,45453,11405,891,33157
2020-7-27,Delhi,131219,116372,3853,10994
2020-7-27,Mumbai,110182,81944,6132,22106
2020-7-27,Bengaluru,46923,12189,917,33817
2020-7-28,Delhi,132275,117507,3881,10887
2020-7-28,Mumbai,110882,84411,6187,20284
2020-7-28,Bengaluru,48821,12761,957,35103
2020-7-29,Delhi,133310,118633,3907,10770
2020-7-29,Mumbai,111991,85327,6247,20417
2020-7-29,Bengaluru,51091,13879,987,36225
2020-7-30,Delhi,134403,119724,3936,10743
2020-7-30,Mumbai,113199,86447,6300,20452
2020-7-30,Bengaluru,53324,15791,1009,36524
2020-7-31,Delhi,135598,120930,3963,10705
2020-7-31,Mumbai,114284,87074,6353,20857
2020-7-31,Bengaluru,55544,16896,1029,37619
2020-8-1,Delhi,136716,122131,3989,10596
2020-8-1,Mumbai,115331,87906,6398,21027
2020-8-1,Bengaluru,57396,18579,1056,37761
2020-8-2,Delhi,137677,123317,4004,10356
2020-8-2,Mumbai,116436,88299,6447,21690
2020-8-2,Bengaluru,59501,20910,1077,37514
2020-8-3,Delhi,138482,124254,4021,10207
2020-8-3,Mumbai,117406,90089,6493,20824
2020-8-3,Bengaluru,60998,23603,1104,36291
2020-8-4,Delhi,139156,125226,4033,9897
2020-8-4,Mumbai,118115,90960,6549,20606
2020-8-4,Bengaluru,63033,27877,1134,34022
2020-8-5,Delhi,140232,126116,4044,10072
2020-8-5,Mumbai,119240,91673,6591,20976
2020-8-5,Bengaluru,64881,30960,1163,32758
2020-8-6,Delhi,141531,127124,4059,10348
2020-8-6,Mumbai,120150,92659,6648,20843
2020-8-6,Bengaluru,67425,33932,1178,32315
2020-8-7,Delhi,142723,128232,4082,10409
2020-8-7,Mumbai,121012,93898,6693,20421
2020-8-7,Bengaluru,69572,35063,1200,33309
